id	name	namespace	CTAffiliated	BrainAffiliated	def
GO:0001541	ovarian follicle development	biological_process	T		The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure. [https://www.ncbi.nlm.nih.gov/books/NBK279054/]
GO:0001556	oocyte maturation	biological_process	T		A developmental process, independent of morphogenetic (shape) change, that is required for an oocyte to attain its fully functional state. Oocyte maturation commences after reinitiation of meiosis commonly starting with germinal vesicle breakdown, and continues up to the second meiotic arrest prior to fertilization. [GOC:devbiol, https://www.ncbi.nlm.nih.gov/books/NBK279054/]
GO:0001558	regulation of cell growth	biological_process	F		Any process that modulates the frequency, rate, extent or direction of cell growth. [GOC:go_curators]
GO:0001568	blood vessel development	biological_process	T		The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood. [GOC:hjd, UBERON:0001981]
GO:0001569	branching involved in blood vessel morphogenesis	biological_process	T		The process of coordinated growth and sprouting of blood vessels giving rise to the organized vascular system. [GOC:dph]
GO:0001570	vasculogenesis	biological_process	T	T	The differentiation of endothelial cells from progenitor cells during blood vessel development, and the de novo formation of blood vessels and tubes. [PMID:8999798]
GO:0001578	microtubule bundle formation	biological_process	F		A process that results in a parallel arrangement of microtubules. [GOC:dph]
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	biological_process	F		The series of events required for a bitter taste stimulus to be received and converted to a molecular signal. [GOC:go_curators]
GO:0001649	osteoblast differentiation	biological_process	T		The process whereby a relatively unspecialized cell acquires the specialized features of an osteoblast, a mesodermal or neural crest cell that gives rise to bone. [CL:0000062, GO_REF:0000034, GOC:jid]
GO:0001654	eye development	biological_process	T		The process whose specific outcome is the progression of the eye over time, from its formation to the mature structure. The eye is the organ of sight. [GOC:jid, GOC:jl]
GO:0001656	metanephros development	biological_process	T		The process whose specific outcome is the progression of the metanephros over time, from its formation to the mature structure. In mammals, the metanephros is the excretory organ of the fetus, which develops into the mature kidney and is formed from the rear portion of the nephrogenic cord. The metanephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine. [GOC:bf, ISBN:0192800752]
GO:0001657	ureteric bud development	biological_process	T		The process whose specific outcome is the progression of the ureteric bud over time, from its formation to the mature structure. [GOC:go_curators]
GO:0001658	branching involved in ureteric bud morphogenesis	biological_process	T		The process in which the branching structure of the ureteric bud is generated and organized. The ureteric bud is an epithelial tube that grows out from the metanephric duct. The bud elongates and branches to give rise to the ureter and kidney collecting tubules. [GOC:dph, PMID:16916378]
GO:0001659	temperature homeostasis	biological_process	F		A homeostatic process in which an organism modulates its internal body temperature. [GOC:jl]
GO:0001662	behavioral fear response	biological_process	F		An acute behavioral change resulting from a perceived external threat. [GOC:dph, PMID:9920659]
GO:0001666	response to hypoxia	biological_process	F		Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level. [GOC:hjd]
GO:0001675	acrosome assembly	biological_process	T		The formation of the acrosome from the spermatid Golgi. [GOC:dph, GOC:hjd, GOC:tb]
GO:0001676	long-chain fatty acid metabolic process	biological_process	F		The chemical reactions and pathways involving a long-chain fatty acid. A long-chain fatty acid has an aliphatic tail containing 13 to 22 carbons. [GOC:ajp]
GO:0001678	intracellular glucose homeostasis	biological_process	F		A homeostatic process involved in the maintenance of a steady state level of glucose within a cell. [GOC:dph, GOC:go_curators, GOC:tb]
GO:0001701	in utero embryonic development	biological_process	T		The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus. [GOC:go_curators, GOC:mtg_sensu]
GO:0001707	mesoderm formation	biological_process	T		The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts. [GOC:go_curators]
GO:0001708	cell fate specification	biological_process	T		The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate. [GOC:go_curators]
GO:0001755	neural crest cell migration	biological_process	T		The characteristic movement of cells from the dorsal ridge of the neural tube to a variety of locations in a vertebrate embryo. [GOC:ascb_2009, GOC:dph, GOC:tb, ISBN:0878932437]
GO:0001756	somitogenesis	biological_process	T		The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo. [ISBN:0721662544]
GO:0001764	neuron migration	biological_process	T	T	The characteristic movement of an immature neuron from germinal zones to specific positions where they will reside as they mature. [CL:0000540, GOC:go_curators]
GO:0001774	microglial cell activation	biological_process	T		The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor. [GOC:mgi_curators, PMID:10626665, PMID:10695728, PMID:12580336, PMID:9893949]
GO:0001778	plasma membrane repair	biological_process	F		The resealing of a cell plasma membrane after cellular wounding due to, for instance, mechanical stress. [GOC:add, PMID:12925704]
GO:0001782	B cell homeostasis	biological_process	T		The process of regulating the proliferation and elimination of B cells such that the total number of B cells within a whole or part of an organism is stable over time in the absence of an outside stimulus. [GOC:add, ISBN:0781735149, PMID:12956429]
GO:0001817	regulation of cytokine production	biological_process	T		Any process that modulates the frequency, rate, or extent of production of a cytokine. [GOC:add, ISBN:0781735149]
GO:0001818	negative regulation of cytokine production	biological_process	T		Any process that stops, prevents, or reduces the rate of production of a cytokine. [GOC:add, ISBN:0781735149]
GO:0001819	positive regulation of cytokine production	biological_process	T		Any process that activates or increases the frequency, rate or extent of production of a cytokine. [GOC:add, ISBN:0781735149]
GO:0001822	kidney development	biological_process	T		The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine. [GOC:dph, GOC:mtg_kidney_jan10, ISBN:0124020607, ISBN:0721662544]
GO:0001824	blastocyst development	biological_process	T		The process whose specific outcome is the progression of the blastocyst over time, from its formation to the mature structure. The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm. [GOC:dph, ISBN:0124020607, ISBN:0198542771]
GO:0001835	blastocyst hatching	biological_process	T		The hatching of the cellular blastocyst from the zona pellucida. [GOC:dph, ISBN:0124020607, ISBN:0198542771]
GO:0001836	release of cytochrome c from mitochondria	biological_process	F		The process that results in the movement of cytochrome c from the mitochondrial intermembrane space into the cytosol, which is part of the apoptotic signaling pathway and leads to caspase activation. [GOC:add, GOC:mah, GOC:mtg_apoptosis, ISBN:0721639976, PMID:12925707, PMID:9560217]
GO:0001837	epithelial to mesenchymal transition	biological_process	T		A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell. [GOC:dph, PMID:14701881]
GO:0001843	neural tube closure	biological_process	T		The last step in the formation of the neural tube, where the paired neural folds are brought together and fuse at the dorsal midline. [GOC:dph, ISBN:0878932437]
GO:0001889	liver development	biological_process	T		The process whose specific outcome is the progression of the liver over time, from its formation to the mature structure. The liver is an exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes. [GOC:add, ISBN:068340007X]
GO:0001890	placenta development	biological_process	T		The process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. [GOC:add, ISBN:068340007X]
GO:0001892	embryonic placenta development	biological_process	T		The embryonically driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. [GOC:add, ISBN:068340007X]
GO:0001894	tissue homeostasis	biological_process	F		A homeostatic process involved in the maintenance of an internal steady state within a defined tissue of an organism, including control of cellular proliferation and death and control of metabolic function. [GOC:add, GOC:isa_complete]
GO:0001895	retina homeostasis	biological_process	T		A tissue homeostatic process involved in the maintenance of an internal equilibrium within the retina of the eye, including control of cellular proliferation and death and control of metabolic function. [GOC:add, GOC:dph, GOC:tb, PMID:15365173, PMID:15365178]
GO:0001916	positive regulation of T cell mediated cytotoxicity	biological_process	T		Any process that activates or increases the frequency, rate or extent of T cell mediated cytotoxicity. [GOC:add, ISBN:0781735149]
GO:0001932	regulation of protein phosphorylation	biological_process	F		Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein. [GOC:hjd]
GO:0001933	negative regulation of protein phosphorylation	biological_process	F		Any process that stops, prevents or reduces the rate of addition of phosphate groups to amino acids within a protein. [GOC:hjd]
GO:0001934	positive regulation of protein phosphorylation	biological_process	F		Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein. [GOC:hjd]
GO:0001935	endothelial cell proliferation	biological_process	T		The multiplication or reproduction of endothelial cells, resulting in the expansion of a cell population. Endothelial cells are thin flattened cells which line the inside surfaces of body cavities, blood vessels, and lymph vessels, making up the endothelium. [GOC:add, ISBN:0781735149]
GO:0001937	negative regulation of endothelial cell proliferation	biological_process	T		Any process that stops, prevents, or reduces the rate or extent of endothelial cell proliferation. [GOC:add]
GO:0001938	positive regulation of endothelial cell proliferation	biological_process	T		Any process that activates or increases the rate or extent of endothelial cell proliferation. [GOC:add]
GO:0001942	hair follicle development	biological_process	T		The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open. [GOC:dph, UBERON:0002073]
GO:0001947	heart looping	biological_process	T		The tube morphogenesis process in which the primitive heart tube loops asymmetrically. This looping brings the primitive heart chambers into alignment preceding their future integration. Heart looping begins with dextral-looping and ends when the main regional divisions of the mature heart and primordium of the great arterial trunks become established preceeding septation. [GOC:dph, PMID:12094232]
GO:0001954	positive regulation of cell-matrix adhesion	biological_process	F		Any process that activates or increases the rate or extent of cell adhesion to an extracellular matrix. [GOC:hjd]
GO:0001958	endochondral ossification	biological_process	T		Replacement ossification wherein bone tissue replaces cartilage. [GO_REF:0000034, ISBN:0878932437]
GO:0001974	blood vessel remodeling	biological_process	T		The reorganization or renovation of existing blood vessels. [GOC:hjd]
GO:0001975	response to amphetamine	biological_process	F		Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amphetamine stimulus. Amphetamines consist of a group of compounds related to alpha-methylphenethylamine. [GOC:dph, GOC:ef]
GO:0002027	regulation of heart rate	biological_process	T		Any process that modulates the frequency or rate of heart contraction. [GOC:dph, GOC:tb, PMID:10358008]
GO:0002040	sprouting angiogenesis	biological_process	T		The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation. [PMID:16391003, PMID:23031691]
GO:0002042	cell migration involved in sprouting angiogenesis	biological_process	T		The orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels involved in sprouting angiogenesis. [PMID:16391003]
GO:0002052	positive regulation of neuroblast proliferation	biological_process	T		Any process that activates or increases the rate of neuroblast proliferation. [GOC:dph]
GO:0002053	positive regulation of mesenchymal cell proliferation	biological_process	T		The process of activating or increasing the rate or extent of mesenchymal cell proliferation. Mesenchymal cells are loosely organized embryonic cells. [GOC:dph]
GO:0002062	chondrocyte differentiation	biological_process	T		The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage. [GOC:dph]
GO:0002088	lens development in camera-type eye	biological_process	T		The process whose specific outcome is the progression of the lens over time, from its formation to the mature structure. The lens is a transparent structure in the eye through which light is focused onto the retina. An example of this process is found in Mus musculus. [GOC:dph, ISBN:0582064333]
GO:0002092	positive regulation of receptor internalization	biological_process	F		Any process that activates or increases the frequency, rate or extent of receptor internalization. [GOC:hjd]
GO:0002181	cytoplasmic translation	biological_process	F		The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein. [GOC:hjd]
GO:0002218	activation of innate immune response	biological_process	T		Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species. [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]
GO:0002223	stimulatory C-type lectin receptor signaling pathway	biological_process	F		The series of molecular signals initiated by the binding of C-type lectin to its receptor on the surface of a target cell, and resulting in cellular activation. [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0002224	toll-like receptor signaling pathway	biological_process	T		The series of molecular signals initiated by a ligand binding to a toll-like receptor of a target cell. Toll-like receptors directly bind pattern motifs from a variety of microbial sources to initiate an innate immune response. [GO_REF:0000022, GOC:add, ISBN:0781735149, PMID:12467241, PMID:12524386, PMID:12855817, PMID:15585605, PMID:15728447]
GO:0002227	innate immune response in mucosa	biological_process	T		Any process of the innate immune response that takes place in the mucosal tissues. [GOC:add, PMID:10719665, PMID:15971105]
GO:0002230	positive regulation of defense response to virus by host	biological_process	T		Any host process that results in the promotion of antiviral immune response mechanisms, thereby limiting viral replication. [GOC:add, GOC:dph, GOC:tb, ISBN:0781735149]
GO:0002244	hematopoietic progenitor cell differentiation	biological_process	T		The process in which precursor cell type acquires the specialized features of a hematopoietic progenitor cell, a class of cell types including myeloid progenitor cells and lymphoid progenitor cells. [GOC:add, GOC:rl, ISBN:0781735149, PMID:16551251]
GO:0002250	adaptive immune response	biological_process	T		An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory). [GO_REF:0000022, GOC:add, ISBN:0781735149]
GO:0002286	T cell activation involved in immune response	biological_process	T		The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response. [GOC:add, ISBN:0781735149]
GO:0002376	immune system process	biological_process	T		Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats. [GO_REF:0000022, GOC:add]
GO:0002377	immunoglobulin production	biological_process	T		The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels. [GOC:add, ISBN:0781735149]
GO:0002437	inflammatory response to antigenic stimulus	biological_process	T		An inflammatory response to an antigenic stimulus, which can be include any number of T cell or B cell epitopes. [GOC:add, ISBN:0781735149]
GO:0002548	monocyte chemotaxis	biological_process	T		The movement of a monocyte in response to an external stimulus. [GOC:add, PMID:11696603, PMID:15173832]
GO:0002639	positive regulation of immunoglobulin production	biological_process	T		Any process that activates or increases the frequency, rate, or extent of immunoglobulin production. [GOC:add]
GO:0002682	regulation of immune system process	biological_process	T		Any process that modulates the frequency, rate, or extent of an immune system process. [GOC:add]
GO:0002862	negative regulation of inflammatory response to antigenic stimulus	biological_process	T		Any process that stops, prevents, or reduces the frequency, rate, or extent of an inflammatory response to an antigenic stimulus. [GOC:add]
GO:0002931	response to ischemia	biological_process	T		Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a inadequate blood supply. [GOC:hjd]
GO:0003007	heart morphogenesis	biological_process	T		The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. [GOC:dph, GOC:isa_complete]
GO:0003009	skeletal muscle contraction	biological_process	T		A process in which force is generated within skeletal muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. In the skeletal muscle, the muscle contraction takes advantage of an ordered sarcomeric structure and in most cases it is under voluntary control. [GOC:mtg_cardio, GOC:mtg_muscle]
GO:0003148	outflow tract septum morphogenesis	biological_process	T		The process in which the anatomical structures of the outflow tract septum are generated and organized. The outflow tract septum is a partition in the outflow tract. [GOC:mtg_heart]
GO:0003151	outflow tract morphogenesis	biological_process	T		The process in which the anatomical structures of the outflow tract are generated and organized. The outflow tract is the portion of the heart through which blood flows into the arteries. [GOC:mtg_heart, UBERON:0004145]
GO:0003180	aortic valve morphogenesis	biological_process	T		The process in which the structure of the aortic valve is generated and organized. [GOC:mtg_heart]
GO:0003203	endocardial cushion morphogenesis	biological_process	T		The process in which the anatomical structure of the endocardial cushion is generated and organized. The endocardial cushion is a specialized region of mesenchymal cells that will give rise to the heart septa and valves. [GOC:mtg_heart]
GO:0003281	ventricular septum development	biological_process	T		The progression of the ventricular septum over time from its formation to the mature structure. [GOC:mtg_heart]
GO:0003333	amino acid transmembrane transport	biological_process	F		The process in which an amino acid is transported across a membrane. [GOC:dph, GOC:tb]
GO:0003341	cilium movement	biological_process	T		The directed, self-propelled movement of a cilium. [GOC:dph, GOC:jl]
GO:0005975	carbohydrate metabolic process	biological_process	F		The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. [GOC:mah, ISBN:0198506732]
GO:0005977	glycogen metabolic process	biological_process	F		The chemical reactions and pathways involving glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues in alpha-(1->4) glycosidic linkage, joined together by alpha-(1->6) glycosidic linkages. [ISBN:0198506732]
GO:0005978	glycogen biosynthetic process	biological_process	F		The chemical reactions and pathways resulting in the formation of glycogen, a polydisperse, highly branched glucan composed of chains of D-glucose residues. [ISBN:0198506732]
GO:0006006	glucose metabolic process	biological_process	F		The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides. [ISBN:0198506732]
GO:0006091	generation of precursor metabolites and energy	biological_process	F		The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances. [GOC:jl]
GO:0006094	gluconeogenesis	biological_process	F		The formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol. [MetaCyc:GLUCONEO-PWY]
GO:0006096	glycolytic process	biological_process	F		The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules. [GOC:bf, GOC:dph, ISBN:0201090910, ISBN:0716720094, ISBN:0879010479, Wikipedia:Glycolysis]
GO:0006099	tricarboxylic acid cycle	biological_process	F		A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle. [ISBN:0198506732]
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	biological_process	F		The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation. [ISBN:0716731363]
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	biological_process	F		The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV. [ISBN:0716731363]
GO:0006139	nucleobase-containing compound metabolic process	biological_process	F		Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids. [GOC:ai]
GO:0006259	DNA metabolic process	biological_process	F		Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides. [ISBN:0198506732]
GO:0006260	DNA replication	biological_process	F		The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA. [GOC:mah]
GO:0006261	DNA-templated DNA replication	biological_process	F		A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands. [GOC:mah, ISBN:0198506732]
